,id,imdb_rating,imdb_votes,number_in_season,number_in_series,original_air_date,original_air_year,production_code,season,title,us_viewers_in_millions,views,season_group
73,196,7.8,906.0,18,196,1998-03-22,1998,5F13,9,This Little Wiggy,8.9,20739.0,1.0
74,198,7.9,949.0,20,198,1998-04-05,1998,5F14,9,The Trouble with Trillions,7.4,23426.0,1.0
75,200,8.5,1108.0,22,200,1998-04-26,1998,5F09,9,Trash of the Titans,10.2,26299.0,1.0
76,203,8.1,931.0,25,203,1998-05-17,1998,5F18,9,Natural Born Kissers,8.6,53823.0,1.0
77,205,8.2,988.0,2,205,1998-09-20,1998,5F21,10,The Wizard of Evergreen Terrace,7.95,53216.0,1.0
78,207,8.0,1013.0,4,207,1998-10-25,1998,AABF01,10,Treehouse of Horror IX,8.5,83169.0,1.0
79,212,8.2,975.0,9,212,1998-12-20,1998,AABF05,10,Mayored to the Mob,8.5,56762.0,1.0
80,214,7.7,834.0,11,214,1999-01-17,1999,AABF07,10,Wild Barts Can't Be Broken,8.8,57693.0,1.0
81,219,7.5,795.0,16,219,1999-02-28,1999,AABF12,10,Make Room for Lisa,7.6,53449.0,1.0
82,222,7.6,831.0,19,222,1999-04-11,1999,AABF15,10,Mom and Pop Art,8.5,47851.0,1.0
83,224,7.2,789.0,21,224,1999-05-02,1999,AABF17,10,Monty Can't Buy Me Love,7.26,44242.0,1.0
84,226,7.9,964.0,23,226,1999-05-16,1999,AABF20,10,Thirty Minutes over Tokyo,8.0,55947.0,1.0
85,229,7.5,797.0,3,229,1999-10-24,1999,AABF21,11,Guess Who's Coming to Criticize Dinner?,6.7,46141.0,2.0
86,231,7.6,817.0,5,231,1999-11-07,1999,AABF19,11,E-I-E-I-(Annoyed Grunt),8.4,51431.0,2.0
87,233,7.1,747.0,7,233,1999-11-21,1999,BABF03,11,Eight Misbehavin',9.2,40465.0,2.0
88,238,7.3,747.0,12,238,2000-01-23,2000,BABF08,11,The Mansion Family,11.3,43949.0,2.0
89,240,7.9,887.0,14,240,2000-02-13,2000,BABF11,11,"Alone Again, Natura-diddily",10.8,47392.0,2.0
